,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Garden_sqr_meter_per_person_in_residancy_area,Yearly_IncomeK,Will_vote_only_large_party,Weighted_education_rank,Number_of_valued_Kneset_members,Overall_happiness_score
91,Social,427.11879180000005,276.6098597,438.8653825,Yes,536.8548483,10.0,15.67311467
92,Healthcare,83.38645502,267.7068247,478.9130868,No,282.4905192,13.0,
93,Military,285.1665887000001,406.5668732,395.3653708,Maybe,205.0242343,5.0,350.4781559
94,Environment,569.7668729,94.85753325,673.9522013,Yes,565.5211195,12.0,145.86111499999996
95,Healthcare,246.4888497,713.6700222999998,605.0642934,No,238.2297876,9.0,492.250968
96,Social,232.5319571,333.3849552,391.747014,No,218.2702965,7.0,409.6526692
97,Healthcare,206.3863699,490.50380480000007,480.4225732,No,24.40887182,8.0,488.939274
98,Education,64.84417144,325.0876357,368.3583655,No,245.2703755,10.0,389.3939334
99,Social,149.0351741,371.2012965,,No,145.5140586,13.0,460.0031973
100,Environment,33.45463318,349.4404567,410.0914584,No,188.557435,8.0,569.2977948
101,Foreign_Affairs,131.4627473,389.4111649,456.2034084,Maybe,167.6474764,6.0,381.8575248
102,Environment,73.51700749,296.5316589,494.9411065000001,No,231.80800950000003,15.0,610.950417
103,Financial,115.2827146,467.029799,490.2603867,No,40.83543475,9.0,477.9627925
104,Healthcare,399.2972736,252.5801532,554.2145944,Yes,267.9581,,412.5600748
105,Social,174.3736295,320.9810816000001,379.8507141,No,244.1356996,6.0,385.4634741
106,Financial,21.856186,254.41565330000003,469.7724959,No,287.2781947,12.0,645.9568012
107,Military,130.7049906,452.975471,543.9824152000001,Maybe,112.4930378,5.0,407.7561689
108,Healthcare,238.2056233,306.9247613,542.8163513,No,264.2797163,11.0,675.3068188999998
109,Military,136.2169321,396.5301743,469.66511839999987,Maybe,,6.0,545.6644947000002
110,Education,152.17117030000003,295.1723793,348.6615078000001,No,262.9721474,11.0,565.5488895
111,Education,112.6387106,359.4749413,402.5024019,No,193.0198238,9.0,410.5372779
112,Education,84.45404003,501.4782375,416.580268,No,91.73800546,10.0,461.8578348
113,Healthcare,237.133042,567.8250267999998,421.5175304,No,107.3647163,9.0,472.297112
114,Education,22.92421289,254.6091633,501.70636460000014,No,281.2356121,12.0,637.3822953
115,Healthcare,93.58044401,409.2738354,348.949102,No,176.9723742,12.0,483.5193899
116,Education,59.72648872,376.4277624,395.0947097,No,173.87926240000004,12.0,437.08116280000013
117,Healthcare,196.9209833,713.8765817000002,674.3140323,No,276.9885386,7.0,524.3736844
118,Environment,19.77572881,435.0014991000001,401.4334934,No,119.8049316,13.0,479.6761149
119,Education,103.5784606,303.8566085,525.2724015,No,235.407268,16.0,627.693608
120,Healthcare,116.6095896,467.4090414,402.3336308,No,108.0158707,8.0,467.3421055
121,Military,75.22002277,422.6188168000001,333.5098592,Maybe,183.6253169,7.0,503.38267760000014
122,Healthcare,,323.5155764,382.89119710000006,No,221.7731061,8.0,434.2574181
123,Healthcare,148.7536825,342.16396519999995,376.1279453,No,217.34530780000003,9.0,583.5612532
124,Social,105.5223591,508.8297149,480.2529675,No,26.13543112,7.0,485.331953
125,Military,337.0142188,455.2948581,437.5388945,Maybe,187.6717034,8.0,328.7670334
126,Education,378.4602878,388.6131124,263.4575148,Yes,297.019351,16.0,640.9294462
127,Environment,99.28598033,431.9738065,441.7669405,No,90.8955393,14.0,484.4004219
128,Social,108.1231623,388.544112,391.7274147,No,188.7837367,12.0,392.790245
129,Education,23.42358924,313.958375,526.9883427,No,237.8216066,13.0,645.6683208
130,Social,179.9962381,431.7882919,428.8029531,No,119.1677186,11.0,566.925993
131,Social,58.60322736,445.69304580000005,357.823833,No,152.2899108,13.0,494.6232704
132,Financial,217.2656621,351.6970495,378.77648010000013,No,203.0283657,10.0,432.6827633
133,Military,159.31830369999997,395.6164415,440.430646,Maybe,159.09690659999995,8.0,395.7532232
134,Social,355.5708153,422.2560183,0.479351089,Yes,550.7531774,10.0,718.549896
135,Education,429.32009810000005,,429.5380211,Yes,140.27301210000002,13.0,401.6611668
136,Education,111.8270121,479.1402747,435.0084022,No,72.51707023,10.0,475.51144050000005
137,Education,213.0245076,400.3288431,420.36613960000005,No,127.6255918,13.0,496.4785762
138,Education,87.40003009,248.62245980000003,488.9408506,No,294.2936928000001,12.0,652.6296337
139,Environment,315.1242154,500.1547116,463.3436613,No,60.01459214,8.0,452.4811599
140,Healthcare,263.995648,662.7897899000002,661.0993716,No,229.351824,7.0,487.804264
141,Financial,378.9451974,48.47083748,710.3457573,Yes,547.9819243,11.0,271.61377650000003
142,Environment,251.50396150000003,677.6738097,629.7493063,No,220.3327922,8.0,488.0135837
143,Healthcare,327.3113561,394.5397928,415.3224862,No,137.1455803,11.0,477.2673466
144,Education,143.5281215,366.06984730000005,360.1343649,No,198.4503904,15.0,543.3921163
145,Healthcare,,329.7127669,366.5666185,No,239.3147916,7.0,397.6801074
146,Social,67.38862088,523.4059771000002,467.9384643,No,50.3890823,6.0,468.96328330000006
147,Healthcare,196.0468656,436.41737310000013,401.0907244,No,148.40032230000003,12.0,409.4634856
148,Healthcare,249.6072332,322.0756140000001,391.3966303,No,230.0720472,8.0,402.62768430000006
149,Foreign_Affairs,200.0410005,507.5281535,477.6007522,Maybe,81.49441477,10.0,422.00679360000015
150,Military,104.6041431,532.6267046,503.49532130000006,Maybe,87.08524826,6.0,419.3332699
151,Environment,57.1948113,387.3817188,415.5496074,No,,15.0,492.6668785
152,Social,22.78612243,281.30798280000005,350.5411512,No,272.3616469,6.0,563.3776052999998
153,Social,,308.7842253,340.281862,No,276.82123310000003,6.0,379.3491029
154,Social,183.1893812,325.0489832,433.6472114,No,201.0731097,11.0,573.6195938
155,Education,99.94881652,239.6886685,477.3808644,No,282.2558347,12.0,606.7461549
156,Environment,101.76492059999998,365.075712,422.2926608,No,155.8622638,12.0,492.9253115
157,Environment,121.3888889,457.2407514,418.0953498,No,93.53398201,12.0,485.4438768
158,Military,127.0840622,406.9277173,378.2752821,Maybe,173.7917194,8.0,417.9987502
159,Environment,236.2910403,380.8529962,405.2171866000001,No,156.03176240000005,12.0,534.1485086
160,Social,69.24055542,404.3101062,429.82479000000006,No,120.3623294,11.0,479.8511925
161,Financial,14.28239248,431.6348608,458.0831678,No,88.7470435,6.0,461.9838897
162,Healthcare,101.4481515,691.8206844,639.3344374,No,238.13161,7.0,477.6974603
163,Healthcare,101.2863275,308.4720661,374.4200795,No,252.9785941,7.0,392.5527887
164,Financial,9.523598748,446.4518475,374.2165809,No,,9.0,532.6441254
165,Military,38.57078559,410.0270316,411.8075108,Maybe,195.373364,8.0,350.675852
166,Healthcare,145.6303153,307.2529187,409.4170042,No,233.5612775,7.0,404.1138495
167,Healthcare,357.7707965,1.576372395,210.87338280000003,Yes,695.6640032,14.0,110.2204572
168,Financial,112.4783652,470.8193245,428.2616547,No,97.41275711,8.0,559.0875894999998
169,Environment,158.2444895,512.3755356,481.698737,No,58.06015156,9.0,446.3074392
170,Social,140.9558428,400.1973714,439.3572227,No,129.5209888,10.0,556.0140647000002
171,Foreign_Affairs,129.51287040000003,370.876768,459.00470139999993,Maybe,172.161209,10.0,393.7641381
172,Environment,229.4816461,497.0374283,506.9426836,No,20.78270781,10.0,519.3634516
173,Environment,46.9156099,340.43868239999995,372.0974554,No,213.1782646,10.0,560.2170866
174,Healthcare,353.3418205,22.57441708,204.7445154,Yes,598.6602929,13.0,708.0460475
175,Healthcare,665.5087512,683.6376286000002,144.53348300000005,Yes,404.3298495,10.0,558.3386991
176,Social,65.85463782,387.2498808,442.0205377,No,127.1770568,10.0,509.9898125
177,Military,225.3371493,488.1075096,386.1975048,Maybe,132.4396987,6.0,433.3079125
178,Healthcare,242.62606890000004,406.1771831,470.3882193,No,116.4489024,13.0,437.7041867
179,Education,100.2215683,388.2965593,511.764507,No,112.3499628,14.0,497.45994860000013
180,Education,68.68636615,305.9809234,,No,230.9770729,15.0,625.0604352000001
181,Environment,764.7162834,200.4659622,329.2593743000001,Yes,593.9896246000002,13.0,16.31552328
182,Environment,495.628896,525.9235169,501.6005498,Yes,27.05948548,14.0,492.4088693
183,Foreign_Affairs,56.78656418,457.0981131,444.6473557,Maybe,71.07461095,8.0,512.1290225
184,Military,83.01422981,410.049781,400.7382513,,147.8427748,5.0,437.441632
185,Education,73.40024836,302.487103,354.41044,No,269.56380110000003,9.0,
186,Environment,77.54818514,451.523694,458.7372434,No,66.98484084,14.0,520.8423027
187,Healthcare,,312.8105104,373.762486,No,250.6547088,7.0,391.1332553
188,Social,,606.6343598,360.0046559,Yes,211.7228373,13.0,382.2843394
189,Financial,68.25108729,421.2463603,459.9932788,No,148.90864069999995,10.0,380.1204364
190,Military,209.7484185,501.1797247,539.7540382999998,Maybe,72.82653861,8.0,438.9923823
191,Financial,123.1742196,320.7416981,377.9230307,No,244.6982352,5.0,386.6823004
192,Education,62.56286985,316.0989124,531.1848229,No,241.71391,12.0,653.7319455
193,Foreign_Affairs,32.17530257,483.6600998,389.1092084,Maybe,121.7524723,7.0,452.461547
194,Environment,355.1369729,503.4908201,,Yes,648.5611502,15.0,24.13605856
195,Environment,74.54821942,300.6153728,312.3407915,No,279.0405963,9.0,553.7907637999998
196,Healthcare,240.7058806,522.7677918,436.9849653,No,73.23995067,8.0,470.4225858
197,Social,203.6176748,335.57981760000007,410.393839,No,204.672869,7.0,417.369964
198,Social,186.7674525,321.64908,501.1113102,No,231.2146234,12.0,647.1391057
199,Military,251.0656138,498.56976160000005,433.975728,Maybe,121.4145533,8.0,398.1165191
200,Military,124.6848012,395.5848624,449.3419828,Maybe,140.1574781,9.0,421.4165222
201,Education,109.2571169,325.1450157,377.5591456,No,238.6706918,9.0,393.2401256
202,Foreign_Affairs,119.3661382,431.6729169,429.9284564,Maybe,108.8001989,10.0,547.5275896
203,Healthcare,104.9969754,258.9459351,492.0097654,No,264.909354,10.0,609.5721671
204,Other,71.84148473,370.8040856,349.526518,Maybe,200.9645184,11.0,467.551817
205,Financial,109.390411,441.79834810000006,442.2308387,No,82.04777064,11.0,497.3300972
206,Financial,159.2618905,399.7335797,456.7185194,No,110.9323018,,519.4764985
207,Healthcare,540.7462171,377.119525,,Yes,237.0783587,14.0,306.6529700000001
208,Other,80.69175868,471.3137504,362.9486026,Maybe,140.0380227,7.0,497.8409774
209,Education,373.921187,413.9189468,548.9076936,Yes,266.5503767,13.0,252.5182975
210,Environment,157.0691899,287.6544461000001,368.8714445,No,264.2586848,9.0,413.1246861
211,Environment,51.97762963,546.8469257999999,472.7676109,No,58.02399816,10.0,520.7496239
212,Healthcare,122.1045031,696.8516802,643.9137301,No,245.9190824,9.0,468.1495779
213,Education,156.2125178,290.0087732,355.8783893000001,No,282.6585898,10.0,377.4091178000001
214,Environment,56.17824843,358.0985353000001,411.0479432,No,168.8486139,14.0,478.5207004
215,Healthcare,423.2484765,149.6304513,279.3966237,Yes,476.0382099,11.0,265.0793603
216,Environment,21.80275667,724.4829111,681.9589728999998,No,291.8322524,8.0,540.7972839
217,Education,549.1058656,530.356284,429.3355082,Yes,76.98580249,12.0,
218,Social,107.6785842,545.1737545,406.2976766000001,No,116.2159032,7.0,448.179708
219,Financial,411.2599458,198.5996635,343.2046729,Yes,361.8802424,12.0,375.379085
220,Environment,55.95465392,493.1891469,432.9301321,No,79.11850185,8.0,458.5876535
221,Other,66.22561652,373.2688473,443.981523,Maybe,195.3547788,11.0,362.2878554
222,Financial,65.05144814,367.0078763,343.7194441000001,No,214.981955,10.0,435.9162748
223,Foreign_Affairs,112.03187340000002,454.4309487,358.37664,Maybe,149.24585359999998,9.0,488.1420784
224,Financial,291.4965394,311.2620443,369.2956344,No,238.9249135,6.0,
225,Military,255.3590287,419.0239228,446.7258877,Maybe,192.6213011,7.0,333.5436708000001
226,Environment,364.9430195,206.4201165,637.7536913,Yes,370.9136815,11.0,319.967415
227,Foreign_Affairs,89.26810723,546.6360162000002,461.0732313,Maybe,81.33618405,10.0,445.9133703
228,Other,127.9067965,396.1613654,414.72038210000005,Maybe,135.4588873,8.0,517.1474463000002
229,Healthcare,159.62511469999995,304.4243453,293.0470109,No,290.04443389999994,8.0,555.1941779
230,Military,54.37363474,353.0281341999999,493.7098215,Maybe,150.8627331,5.0,
231,Healthcare,558.0762706,764.9735153,727.9873307,Yes,397.6966941,11.0,310.3332562
232,Financial,56.96789061,306.1491323,511.7640769,No,244.007581,10.0,647.7265961
233,Military,81.34558806,346.4227347000001,431.8914652,Maybe,169.7072667,5.0,
234,Financial,137.0454099,446.6251402,436.335629,No,84.38410773,8.0,485.2131866
235,Healthcare,113.3825041,309.9648973,376.869601,No,250.3474689,8.0,393.2319346000001
236,Environment,163.8007936,474.045101,435.2949762,No,71.30448414,14.0,514.9643767
237,Environment,156.18732659999995,445.7786989,379.4048503,No,143.6186634,11.0,443.9359219
238,Environment,603.2189308999998,764.7770373,510.9984551,Yes,,11.0,160.35648600000005
239,Environment,10.36261321,397.74980560000006,419.4830187,No,,14.0,493.24039460000006
240,Education,256.3165839,327.1859638,388.8679599,No,226.367344,9.0,404.9886691
241,Healthcare,72.79226013,303.942459,370.1307607,No,250.08582290000004,8.0,414.921565
242,Financial,104.9349355,320.0212410000001,283.3452153,No,301.6103636,8.0,607.8756786
243,Healthcare,497.6150681,272.6857247,,Yes,249.3608659,14.0,543.8505239
244,Social,107.409895,425.7425772,496.4262709,No,80.54141205,11.0,530.9835871
245,Financial,419.1260448000001,535.9654119,362.0240751,Yes,170.8687435,12.0,594.1555139
246,Social,467.7767795,437.50191960000006,118.1833337,Yes,394.2208818,13.0,424.3684792
247,Military,28.31342772,519.5206208999998,409.3527202,Maybe,123.6673726,6.0,418.1731396
248,Healthcare,151.0861118,310.61944889999995,371.13721360000005,No,257.0355765,7.0,383.3952114
249,Healthcare,132.4875583,510.7342875,453.2496292,No,57.28782295,8.0,
250,Social,123.4931035,427.527918,476.1632126,No,103.4334204,13.0,569.8432341
251,Healthcare,483.2689049,248.2108417,318.0138305000001,Yes,349.77934510000006,14.0,660.7135467999999
252,Financial,83.93948554,356.55181689999995,414.1547724,No,184.2469225,5.0,422.5394028
253,Healthcare,57.41324563,416.9564163,501.4114,No,88.40528277,11.0,469.71361389999987
254,Education,179.3005745,527.2572696999998,465.1198988,No,48.24008059,9.0,480.82905419999986
255,Social,169.0226117,271.0048959,336.3056794,No,310.4775628,6.0,368.9972187
256,Social,161.794471,311.1836607,302.1135901,No,276.5093519,8.0,540.5805435
257,Education,132.104772,714.557391,653.4402150000002,No,264.5053176,9.0,480.3966988
258,Environment,31.94926363,428.58454360000013,479.4881712,No,85.24211655,14.0,541.7769781000002
259,Education,40.8568174,470.7409075,506.6578213,No,51.78618107,13.0,542.2064861
260,Environment,495.81709169999993,229.38089,607.4200147999999,Yes,320.8946668,14.0,634.9059856
261,Education,354.9485188999999,266.826671,251.1445887,Yes,366.8967835,16.0,635.3308266
262,Education,299.9427973,217.8407016,456.5568274,No,307.5941409,14.0,614.5119059
263,Social,28.79241413,413.6153685,377.2705458,No,158.02077519999997,12.0,450.5455572
264,Education,155.8100917,418.6259834,446.6773955,No,102.9560376,15.0,533.6884987999998
265,Healthcare,84.10661352,282.838755,537.6117101,No,250.6454472,13.0,619.3712409
266,Financial,,258.31023230000005,489.8812296,No,267.5607295,11.0,614.3346432
267,Financial,123.7426697,305.97285960000005,511.6325456,No,223.4054822,12.0,610.1279352000001
268,Healthcare,249.0508037,425.6838308,394.1789976,No,136.4600815,12.0,543.5933056
269,Healthcare,390.5916079,468.6772507,483.35908110000014,Yes,70.72603884,12.0,438.81064010000006
270,Environment,396.1176536,213.7112701,644.7454778,Yes,464.8145617,12.0,163.63697209999995
271,Environment,476.4078191,233.4464419,678.759781,Yes,340.3768817,11.0,613.3603237000002
272,Environment,56.14034032,301.2232572,500.8246121,No,261.90051830000004,15.0,670.5256813999998
273,Financial,51.88957784,395.7743624,466.4236576,No,109.6166752,9.0,494.9540926
274,Education,325.3680501,295.5827383,523.7159214,No,258.9967547,13.0,657.2592036
275,Environment,333.7739814,701.4675164,665.4725847,No,260.887402,10.0,509.5864527
276,Healthcare,193.6032737,287.9911196000001,370.5261935,No,256.4657045,9.0,436.2549952
277,Financial,134.890831,458.382176,472.8639581000001,No,51.65684585,10.0,485.85709800000006
278,Education,502.5176696,219.4798862,530.8033901,Yes,314.7415634,15.0,639.3623643999998
279,Social,49.15217035,329.7108354,358.9883816,No,230.4781223,11.0,434.9040034
280,Military,103.8012613,442.5597384,496.6138953,Maybe,147.7634279,9.0,363.9001055
281,Healthcare,,481.8805469,398.0741585,No,104.17220079999998,13.0,511.6041231
282,Healthcare,35.13403325,239.323421,521.2991343,No,301.0244855,13.0,649.0295572000001
283,Financial,320.4553049999999,294.466811,505.6612045,No,250.8596792,11.0,643.7172141
284,Healthcare,209.5329751,361.5672511,377.0573262,No,185.7577509,13.0,515.0802852
285,Education,357.35549239999995,262.3282925,283.4818544,Yes,349.0829582,14.0,364.0185166
286,Social,134.9411669,476.6069005,462.7628746,No,70.54143236,6.0,444.8433769
287,Healthcare,96.8271786,521.1216291999998,459.6848016,No,47.12426821,14.0,512.2171277
288,Military,125.8630381,472.343768,446.855159,Maybe,110.21797920000002,6.0,407.4864245
289,Financial,487.4889793,702.96638,307.9602718000001,Yes,390.5787294,9.0,227.0950068
290,Financial,77.74768203,494.92708380000005,445.9414237,No,65.40953782,6.0,463.526126
291,Military,38.48173965,455.0458265,349.8057805,Maybe,176.17003219999995,6.0,419.646413
292,Social,542.2495931,434.6637312,291.3285489,Yes,259.2896542,13.0,639.3503579
293,Education,82.29550985,704.3191937999999,648.0027151,No,252.45419280000004,9.0,490.9455617
294,Social,80.46133739,323.9892289,333.9394144,No,242.6984434,8.0,518.6178625
295,Education,45.8022272,293.3810262,385.1442095,No,259.0179386,9.0,394.1366941
296,Social,38.12632468,339.5949742,384.9028031,No,213.1727675,7.0,419.5917183
297,Social,9.169952546000001,209.1051419,570.9443873,Yes,337.31013019999995,10.0,655.3228875
298,Social,422.3410747,507.8320152,632.8862467,Yes,,9.0,221.8254273
299,Social,110.5088335,473.3145285,441.3074017,No,102.3169385,6.0,420.5530339
300,Environment,66.31798083,310.9853423,507.9828154,No,220.3641177,15.0,613.0047706
301,Environment,373.3872796,160.2140111,575.9650387999999,Yes,357.7978165,11.0,417.5738387
302,Education,273.0916336,416.5738879,421.9554643,No,116.4970088,15.0,477.18142580000006
303,Social,706.85728,171.6169259,400.4538014,Yes,562.3801995,10.0,54.43676125
304,Education,437.22970939999993,203.3344441,714.0375452999998,Yes,375.143784,16.0,583.1284295
305,Environment,-36.12869802,130.71561200000002,324.0991664,Yes,426.9020428,11.0,377.7981523
306,Financial,517.9584756,522.6739044,,Yes,204.2084966,8.0,630.1134433999998
307,Foreign_Affairs,232.08835130000003,487.6408599,375.2523964,Maybe,125.8522375,10.0,511.1387945
308,Education,168.842702,343.8160365,382.0980654,No,210.2888497,9.0,423.0123149
309,Social,120.2013,533.0742503,492.5086937,No,40.45861263,6.0,477.9347869
310,Healthcare,122.6871503,393.0716252,408.066485,No,141.1314167,10.0,
311,Military,52.49968724,461.9592015,424.5614409,Maybe,124.1212655,6.0,409.0714017
312,Environment,514.1455363,593.1394202,527.9620934,Yes,177.00075,11.0,647.8933238
313,Healthcare,,558.4867457,626.6648054999998,Yes,192.1641577,14.0,367.8546591
314,Environment,58.59786476,318.5058421,389.4499744,No,235.1116404,8.0,399.421444
315,Foreign_Affairs,115.7397736,445.6441538,470.2082692,Maybe,101.3084369,10.0,419.8670222
