,Vote
1803,10
1804,5
1805,5
1806,5
1807,6
1808,4
1809,7
1810,10
1811,8
1812,7
1813,11
1814,4
1815,4
1816,11
1817,11
1818,11
1819,4
1820,3
1821,11
1822,6
1823,6
1824,8
1825,8
1826,1
1827,8
1828,5
1829,5
1830,8
1831,7
1832,5
1833,10
1834,5
1835,9
1836,8
1837,5
1838,5
1839,8
1840,7
1841,10
1842,8
1843,8
1844,6
1845,8
1846,4
1847,5
1848,8
1849,4
1850,9
1851,4
1852,8
1853,5
1854,4
1855,8
1856,8
1857,9
1858,10
1859,11
1860,1
1861,7
1862,11
1863,3
1864,8
1865,5
1866,8
1867,5
1868,5
1869,8
1870,5
1871,9
1872,8
1873,5
1874,8
1875,8
1876,4
1877,7
1878,5
1879,5
1880,9
1881,7
1882,7
1883,6
1884,11
1885,8
1886,1
1887,4
1888,5
1889,1
1890,4
1891,9
1892,8
1893,7
1894,8
1895,7
1896,3
1897,8
1898,8
1899,9
1900,4
1901,6
1902,5
1903,8
1904,5
1905,5
1906,8
1907,10
1908,10
1909,9
1910,4
1911,10
1912,4
1913,5
1914,7
1915,7
1916,8
1917,4
1918,1
1919,8
1920,5
1921,10
1922,9
1923,5
1924,8
1925,9
1926,5
1927,11
1928,9
1929,8
1930,10
1931,8
1932,10
1933,6
1934,5
1935,1
1936,9
1937,11
1938,5
1939,8
1940,8
1941,10
1942,6
1943,5
1944,9
1945,8
1946,1
1947,8
1948,8
1949,4
1950,5
1951,4
1952,8
1953,8
1954,8
1955,8
1956,8
1957,5
1958,5
1959,5
1960,8
1961,8
1962,5
1963,7
1964,8
1965,8
1966,7
1967,9
1968,1
1969,2
1970,8
1971,8
1972,1
1973,2
1974,10
1975,3
1976,1
1977,11
1978,8
1979,7
1980,10
1981,5
1982,11
1983,5
1984,11
1985,8
1986,10
1987,8
1988,8
1989,10
1990,7
1991,3
1992,5
1993,7
1994,8
1995,10
1996,3
1997,6
1998,8
1999,8
2000,7
2001,8
2002,8
2003,5
2004,7
2005,5
2006,10
2007,5
2008,5
2009,8
2010,8
2011,8
2012,10
2013,8
2014,7
2015,8
2016,4
2017,8
2018,5
2019,8
2020,9
2021,8
2022,2
2023,8
2024,8
2025,10
2026,8
2027,8
2028,5
2029,8
2030,9
2031,8
2032,1
2033,10
2034,7
2035,5
2036,8
2037,8
2038,5
2039,5
2040,2
2041,10
2042,5
2043,9
2044,4
2045,7
2046,10
2047,11
2048,1
2049,10
2050,11
2051,8
2052,10
2053,7
2054,1
2055,4
2056,5
2057,5
2058,7
2059,5
2060,1
2061,5
2062,8
2063,2
2064,2
2065,8
2066,10
2067,5
2068,4
2069,4
2070,7
2071,11
2072,7
2073,10
2074,8
2075,10
2076,4
2077,8
2078,1
2079,1
2080,11
2081,1
2082,6
2083,2
2084,5
2085,1
2086,7
2087,5
2088,8
2089,6
2090,8
2091,6
2092,8
2093,8
2094,10
2095,9
2096,10
2097,7
2098,3
2099,8
2100,7
2101,8
2102,8
2103,5
2104,8
2105,5
2106,8
2107,5
2108,8
2109,4
2110,7
2111,6
2112,8
2113,10
2114,10
2115,8
2116,5
2117,11
2118,5
2119,8
2120,8
2121,4
2122,9
2123,5
2124,5
2125,5
2126,9
2127,1
2128,3
2129,10
2130,1
2131,7
2132,9
2133,6
2134,11
2135,8
2136,9
2137,5
2138,9
2139,9
2140,5
2141,5
2142,5
2143,10
2144,8
2145,8
2146,9
2147,8
2148,9
2149,8
2150,7
2151,8
2152,1
2153,7
2154,8
2155,8
2156,8
2157,10
2158,7
2159,8
2160,2
2161,10
2162,7
2163,8
2164,8
2165,7
2166,4
2167,8
2168,1
2169,1
2170,8
2171,8
2172,11
2173,8
2174,1
2175,10
2176,3
2177,1
2178,5
2179,8
2180,1
2181,5
2182,5
2183,10
2184,8
2185,4
2186,7
2187,3
2188,11
2189,9
2190,1
2191,4
2192,2
2193,10
2194,8
2195,9
2196,1
2197,11
2198,5
2199,5
2200,8
2201,1
2202,8
2203,7
2204,5
2205,8
2206,5
2207,10
2208,5
2209,9
2210,7
2211,5
2212,6
2213,10
2214,7
2215,4
2216,10
2217,10
2218,7
2219,1
2220,5
2221,7
2222,8
2223,4
2224,7
2225,8
2226,8
2227,3
2228,5
2229,8
2230,6
2231,2
2232,2
2233,8
2234,10
2235,1
2236,8
2237,8
2238,11
2239,10
2240,9
2241,8
2242,5
2243,8
2244,7
2245,2
2246,5
2247,7
2248,5
2249,5
2250,5
2251,9
2252,4
2253,5
2254,5
2255,8
2256,5
2257,7
2258,9
2259,10
2260,8
2261,5
2262,9
2263,8
2264,1
2265,9
2266,11
2267,11
2268,7
2269,10
2270,8
2271,11
2272,2
2273,11
2274,7
2275,9
2276,7
2277,4
2278,10
2279,5
2280,8
2281,3
2282,1
2283,4
2284,8
2285,8
2286,5
2287,8
2288,5
2289,4
2290,3
2291,5
2292,5
2293,10
2294,11
2295,10
2296,10
2297,5
2298,8
2299,8
2300,7
2301,8
2302,5
2303,4
2304,9
2305,8
2306,11
2307,8
2308,8
2309,9
2310,7
2311,1
2312,10
2313,5
2314,5
2315,5
2316,8
2317,1
2318,11
2319,1
2320,4
2321,5
2322,8
2323,8
2324,1
2325,10
2326,9
2327,4
2328,1
2329,6
2330,9
2331,7
2332,9
2333,9
2334,8
2335,7
2336,9
2337,7
2338,2
2339,5
2340,8
2341,1
2342,5
2343,8
2344,7
2345,7
2346,3
2347,10
2348,6
2349,10
2350,8
2351,11
2352,8
2353,10
2354,1
2355,1
2356,3
2357,7
2358,8
2359,5
2360,8
2361,8
2362,7
2363,5
2364,6
2365,9
2366,9
2367,8
2368,5
2369,9
2370,9
2371,5
2372,2
2373,2
2374,7
2375,9
2376,9
2377,7
2378,8
2379,4
2380,8
2381,4
2382,5
2383,3
2384,5
2385,11
2386,5
2387,5
2388,1
2389,7
2390,10
2391,8
2392,8
2393,6
2394,8
2395,2
2396,5
2397,8
2398,8
2399,8
2400,10
2401,7
2402,8
2403,5
2404,7
2405,8
2406,8
2407,4
2408,8
2409,3
2410,5
2411,9
2412,8
2413,1
2414,4
2415,8
2416,9
2417,9
2418,9
2419,8
2420,5
2421,8
2422,8
2423,8
2424,7
2425,10
2426,10
2427,3
2428,5
2429,8
2430,8
2431,10
2432,5
2433,1
2434,8
2435,9
2436,8
2437,8
2438,2
2439,6
2440,10
2441,8
2442,4
2443,11
2444,8
2445,3
2446,8
2447,5
2448,8
2449,7
2450,9
2451,9
2452,11
2453,8
2454,9
2455,8
2456,8
2457,10
2458,4
2459,8
2460,2
2461,9
2462,8
2463,10
2464,8
2465,2
2466,1
2467,10
2468,6
2469,10
2470,5
2471,5
2472,10
2473,3
2474,11
2475,5
2476,11
2477,4
2478,11
2479,8
2480,8
2481,10
2482,7
2483,11
2484,4
2485,8
2486,5
2487,11
2488,8
2489,8
2490,7
2491,8
2492,4
2493,5
2494,8
2495,8
2496,6
2497,6
2498,7
2499,8
2500,7
2501,8
2502,6
2503,5
2504,9
2505,7
2506,8
2507,9
2508,2
2509,6
2510,11
2511,5
2512,8
2513,5
2514,8
2515,9
2516,8
2517,5
2518,5
2519,8
2520,6
2521,4
2522,8
2523,2
2524,9
2525,4
2526,5
2527,10
2528,3
2529,5
2530,8
2531,10
2532,2
2533,4
2534,10
2535,1
2536,9
2537,1
2538,8
2539,6
2540,5
2541,7
2542,9
2543,8
2544,3
2545,11
2546,8
2547,7
2548,8
2549,8
2550,8
2551,5
2552,3
2553,4
2554,9
2555,5
2556,7
2557,8
2558,6
2559,9
2560,6
2561,10
2562,3
2563,5
2564,8
2565,9
2566,8
2567,4
2568,8
2569,1
2570,10
2571,5
2572,5
2573,5
2574,9
2575,7
2576,7
2577,8
2578,5
2579,8
2580,11
2581,3
2582,5
2583,3
2584,8
2585,9
2586,3
2587,5
2588,10
2589,3
2590,10
2591,9
2592,8
2593,9
2594,3
2595,5
2596,8
2597,8
2598,8
2599,4
2600,5
2601,8
2602,1
2603,1
2604,10
2605,7
2606,8
2607,2
2608,1
2609,1
2610,1
2611,8
2612,1
2613,8
2614,8
2615,10
2616,8
2617,7
2618,6
2619,4
2620,5
2621,8
2622,7
2623,7
2624,8
2625,8
2626,5
2627,11
2628,11
2629,4
2630,9
2631,5
2632,7
2633,5
2634,8
2635,8
2636,7
2637,5
2638,8
2639,7
2640,8
2641,10
2642,5
2643,10
2644,7
2645,7
2646,6
2647,4
2648,10
2649,8
2650,5
2651,6
2652,10
2653,5
2654,5
2655,8
2656,4
2657,10
2658,7
2659,8
2660,8
2661,5
2662,1
2663,5
2664,5
2665,8
2666,9
2667,5
2668,2
2669,5
2670,5
2671,6
2672,8
2673,9
2674,11
2675,9
2676,9
2677,7
2678,11
2679,6
2680,4
2681,11
2682,5
2683,9
2684,8
2685,1
2686,6
2687,3
2688,10
2689,9
2690,5
2691,2
2692,5
2693,9
2694,7
2695,4
2696,10
2697,7
2698,8
2699,1
2700,7
2701,10
2702,10
2703,9
2704,5
2705,5
2706,8
2707,8
2708,8
2709,8
2710,4
2711,11
2712,1
2713,8
2714,11
2715,4
2716,1
2717,8
2718,1
2719,8
2720,6
2721,8
2722,5
2723,10
2724,4
2725,6
2726,8
2727,6
2728,1
2729,4
2730,10
2731,2
2732,8
2733,8
2734,4
2735,2
2736,8
2737,8
2738,9
2739,8
2740,9
2741,7
2742,6
2743,1
2744,5
2745,8
2746,7
2747,2
2748,2
2749,1
2750,8
2751,8
2752,10
2753,8
2754,4
2755,5
2756,11
2757,7
2758,7
2759,1
2760,8
2761,7
2762,5
2763,8
2764,5
2765,10
2766,5
2767,8
2768,8
2769,10
2770,4
2771,6
2772,10
2773,7
2774,10
2775,8
2776,5
2777,8
2778,5
2779,9
2780,9
2781,2
2782,11
2783,2
2784,10
2785,9
2786,10
2787,5
2788,7
2789,2
2790,3
2791,7
2792,8
2793,11
2794,10
2795,11
2796,6
2797,8
2798,8
2799,10
2800,6
2801,9
2802,5
2803,8
2804,5
2805,4
2806,11
2807,3
2808,5
2809,4
2810,8
2811,4
2812,8
2813,7
2814,9
2815,10
2816,5
2817,8
2818,1
2819,1
2820,11
2821,10
2822,8
2823,8
2824,1
2825,8
2826,5
2827,9
2828,8
2829,4
2830,8
2831,10
2832,9
2833,5
2834,5
2835,11
2836,9
2837,5
2838,4
2839,7
2840,11
2841,6
2842,1
2843,7
2844,9
2845,11
2846,1
2847,8
2848,8
2849,2
2850,1
2851,2
2852,5
2853,11
2854,5
2855,8
2856,2
2857,7
2858,8
2859,1
2860,11
2861,10
2862,1
2863,1
2864,8
2865,3
2866,8
2867,9
2868,9
2869,4
2870,8
2871,10
2872,8
2873,8
2874,8
2875,8
2876,1
2877,7
2878,8
2879,1
2880,10
2881,9
2882,11
2883,8
2884,10
2885,7
2886,10
2887,7
2888,8
2889,11
2890,8
2891,4
2892,4
2893,10
2894,5
2895,1
2896,8
2897,8
2898,10
2899,4
2900,5
2901,2
2902,5
2903,5
2904,2
2905,8
2906,9
2907,10
2908,10
2909,8
2910,1
2911,9
2912,5
2913,8
2914,2
2915,1
2916,7
2917,5
2918,4
2919,10
2920,5
2921,8
2922,1
2923,8
2924,8
2925,5
2926,8
2927,7
2928,10
2929,5
2930,1
2931,6
2932,3
2933,10
2934,4
2935,10
2936,8
2937,5
2938,5
2939,5
2940,8
2941,6
2942,8
2943,11
2944,8
2945,5
2946,5
2947,4
2948,7
2949,10
2950,9
2951,2
2952,1
2953,1
2954,5
2955,4
2956,9
2957,1
2958,5
2959,5
2960,10
2961,10
2962,10
2963,5
2964,7
2965,5
2966,5
2967,9
2968,8
2969,8
2970,5
2971,7
2972,10
2973,8
2974,5
2975,2
2976,6
2977,1
2978,8
2979,10
2980,9
2981,10
2982,4
2983,5
2984,10
2985,10
2986,10
2987,11
2988,4
2989,7
2990,5
2991,5
2992,8
2993,8
2994,4
2995,6
2996,4
2997,7
