,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
3481,6.0,163.80591819999998,36852.94272,Education,54.60197272,No,674.9379352000001,No,Female,By_16:00,0.875628325,0.44407747799999997,0.170564374,,0.37604691700000004,1.611716759,8705.0,49.29082179,627.2382375,8003.855826999999,72279.49492000001,No,455541.2163,25.04472474,219.62519939999999,11.04800163,3045.9773969999997,100.0,30-45,1.0,863.0188817,9.0,Public_or_other,Public_Sector,462.0213487,1.0,Yes
6598,4.0,1000.607659,95207.39914,Social,333.5358862,No,285.448742,Yes,Male,After_16:00,0.799603774,0.764230333,8.31298209,9.454856408,3.545080535,6.489777961000001,4583.0,95.84484040000001,502.5854238,3859.658268,60640.03676,No,81480.98432,22.41841707,278.4159838,31.75473814,111589.7233,70.0,Below_30,1.0,819.5798912,11.0,Public_or_other,Student_or_Unemployed,677.4162712,1.0,No
8677,9.0,770.3636443,103694.0086,Financial,256.7878814,No,403.8119244,Yes,Female,By_16:00,0.702187692,0.031651822,8.09306738,3.890438217,,4.014312639,7510.0,8.567141648,427.24310080000004,4892.6054460000005,51798.921239999996,No,163064.0703,20.66985972,124.8832946,38.92443706,66206.80394,60.0,30-45,4.0,658.6971671,11.0,Foot_or_bicycle,Services_or_Retail,467.59436780000004,0.0,Yes
2032,7.0,996.7706427,103018.1633,Healthcare,332.2568809,No,310.0557708,Yes,Female,After_16:00,0.7664728009999999,0.900005336,6.2453801,6.261676997,5.287372328,9.473657946,4874.0,97.72077943,369.1530087,3838.863725,43683.93436,No,96134.58099,19.21335496,257.2324682,82.24896225,110736.8918,80.0,45_and_up,5.0,556.3029711,7.0,Public_or_other,Services_or_Retail,386.1193723,1.0,Yes
7105,5.0,136.9398315,12683.11132,Social,45.64661051,No,277.8543943,Yes,Male,After_16:00,0.42049223,0.121099896,1.006569157,7.191293535,2.83772378,2.965434184,9358.0,12.21289665,517.0016337000001,3812.547211,61124.503110000005,No,77203.06444,22.73766993,270.8104458,54.52347805,2139.259662,70.0,30-45,2.0,820.0618599999999,10.0,Motorcycle_or_truck,Industry_or_other,653.9499006,5.0,Yes
7477,2.0,497.4093149,86251.71809,Military,165.80310500000002,No,520.2056868,No,Female,By_16:00,0.489101104,0.033472508,3.8469583289999996,2.078777046,0.08589553400000001,6.92955774,7997.0,24.41418082,422.61095880000005,,51917.366389999996,Maybe,270613.9565,20.55750371,125.85770520000001,48.13891121,27666.472719999998,30.0,45_and_up,2.0,633.783323,9.0,Public_or_other,Services_or_Retail,402.8257828,0.0,Yes
2823,3.0,156.6752291,19469.025530000003,Environment,52.22507635,No,372.7907529,Yes,Female,After_16:00,0.10223868,0.742082748,9.526312617,5.312500827,0.691399758,9.35745555,6137.0,72.69025971,395.71054760000004,4519.328624,49201.4306,No,138972.9454,19.89247465,164.9866916,76.20288974,2789.683676,90.0,Below_30,4.0,637.0521332000001,,Motorcycle_or_truck,Industry_or_other,487.2671302,0.0,Yes
6328,6.0,1311.955203,227151.9488,Financial,437.318401,Yes,519.4200571,No,Male,By_16:00,0.416654374,0.466829901,1.710781748,5.316921917,8.730967222,0.059522310999999994,6793.0,39.32796919,571.9687454,6338.138062,59970.23577000001,Yes,269797.1958,23.91586807,276.2225065,13.67629317,191694.7022,60.0,45_and_up,2.0,683.726815,8.0,Car,Student_or_Unemployed,234.02587680000002,1.0,Yes
8175,9.0,108.29807509999999,25398.09632,Environment,36.09935837,No,703.5608794,No,Male,By_16:00,0.297009777,0.6188674479999999,4.658422465,1.343944285,9.029964202,9.194610955,9663.0,99.34501999999999,635.5586869,8306.726168000001,74175.61838,No,494997.9111,25.21028931,,15.07180496,1349.263033,90.0,Below_30,1.0,889.5412645,10.0,Car,Hightech,494.3647166999999,0.0,No
2685,2.0,124.29929479999998,12632.07537,Education,41.43309826,No,304.8788505,Yes,Female,After_16:00,0.124829096,0.6573281879999999,6.600831982000001,8.346313371,6.889056009,3.522322322,7503.0,,534.6454976,4118.079501,63323.3063,No,92951.1135,23.12240251,259.93394720000003,90.20968752,1768.13473,100.0,Below_30,4.0,845.7715728000001,12.0,Car,Services_or_Retail,668.2054797000001,1.0,No
8755,4.0,1496.522487,165353.2322,Financial,498.8408291,Yes,331.4749367,Yes,Female,By_16:00,0.298894708,0.36381878100000004,3.8981438589999997,6.118439061,2.731007279,9.683799987999999,6930.0,48.1675779,626.974612,4568.698590999999,68182.21337,Yes,109875.6337,25.0394611,214.5176279,74.77475728,249351.0136,60.0,Below_30,4.0,866.7544376,11.0,Car,Industry_or_other,538.6595863,0.0,No
6109,3.0,1553.870842,234816.6707,Education,517.9569473,Yes,453.35171560000003,Yes,Male,By_16:00,0.6869470390000001,0.319226878,4.687291866,7.204071889,0.155528309,5.430420805,,76.07111058,424.9874748,5383.492106000001,51468.596939999996,Yes,205527.7781,20.61522435,116.22810179999999,75.94916678,268807.3562,100.0,45_and_up,3.0,640.0547637999999,15.0,Public_or_other,Industry_or_other,424.46172970000003,0.0,No
7423,2.0,1220.745291,310788.3978,Environment,406.9150968,Yes,763.7671843999999,No,Female,By_16:00,0.657424145,0.849653697,4.499581221000001,4.281746901,6.851287365,2.010572669,6715.0,88.67376256,197.43487199999998,8032.541587999999,31815.65203,Yes,,14.05115198,544.5333242,77.40249187,165996.8111,90.0,45_and_up,2.0,320.0859323,14.0,Foot_or_bicycle,Hightech,132.0356582,0.0,No
2666,2.0,188.44521269999998,42467.92475,Social,62.81507089,No,676.0785931,No,Male,After_16:00,,0.68469037,8.720555978,1.923942904,3.964891315,1.6515677,7323.0,,632.0800517000001,8024.9460340000005,73422.75231,No,457082.26399999997,25.14120227,220.1914733,23.19249203,4018.5482009999996,70.0,Below_30,2.0,883.5019079,6.0,Public_or_other,Public_Sector,,0.0,Yes
2222,8.0,515.9523385,70033.02231,Foreign_Affairs,171.9841128,No,407.20634689999997,Yes,Male,After_16:00,0.124604385,0.963419554,,1.401387015,1.332237527,3.992853994,4772.0,96.56550821,414.2431818,4900.549833,52136.34888,Maybe,165817.009,20.35296494,128.7965869,9.012443897999999,29760.519180000003,40.0,Below_30,0.0,676.02616,8.0,Foot_or_bicycle,Services_or_Retail,524.9733233,0.0,Yes
3002,8.0,1119.731906,281763.8848,Education,,Yes,754.9053926,No,Female,After_16:00,0.648586153,0.188815116,7.645649167,8.911075647999999,,0.910114669,7257.0,3.083605692,294.2863901,8137.626706,36746.28331,Yes,569882.1517,17.15477747,584.3522104,28.43138657,139694.3042,100.0,30-45,3.0,348.39134310000003,12.0,Motorcycle_or_truck,Industry_or_other,16.08610549,1.0,No
9087,10.0,169.38756180000001,21932.80819,Environment,56.46252059,No,388.448974,Yes,Male,After_16:00,0.12353023699999999,0.442876572,2.145586775,2.614766359,4.213500577,1.8328106869999998,,46.51725148,457.879741,4800.2492219999995,54768.418679999995,,150892.6054,21.39812471,119.24758059999999,31.445186699999997,3254.478752,90.0,30-45,4.0,701.684639,14.0,Foot_or_bicycle,Industry_or_other,501.4959495,0.0,No
1126,8.0,274.56256030000003,25241.95147,Social,91.52085345,No,275.8054642,Yes,Male,After_16:00,0.383521811,0.11915455900000001,7.982770512,7.064917791,,7.642702016,8595.0,54.15561921,491.284103,3740.6228479999995,59085.88133,No,76068.65406,22.16492957,273.4279972,23.39133334,8477.587469,70.0,30-45,3.0,797.8766782,9.0,Car,Hightech,656.2808782000001,1.0,Yes
6966,7.0,741.2751107,110511.9178,Environment,247.0917036,No,447.25062060000005,Yes,Female,After_16:00,0.8755226759999999,0.43793340799999997,2.909179202,6.302693228,8.932074253,6.630593502999999,5581.0,67.89791712,416.60102939999996,5305.708264,53359.81948,No,200033.1176,20.41080668,106.61850190000001,39.02789003,61311.40167000001,90.0,Below_30,1.0,689.8502621,11.0,Car,Public_Sector,540.3685472,0.0,Yes
7509,8.0,383.1733652,38860.01535,Financial,127.7244551,No,304.2488247,Yes,Female,After_16:00,0.9913130859999999,0.576243265,7.183303912,5.352857835,6.617001542000001,4.3584612410000005,9619.0,44.93633239,257.3119938,3557.112235,37978.49849,No,92567.34735,16.04094741,313.3680257,42.41173717,16451.26088,60.0,Below_30,3.0,527.6863065,7.0,Car,Services_or_Retail,531.3612591,0.0,No
1581,3.0,930.4718826999999,128709.5708,Financial,310.15729419999997,No,414.9816019,Yes,Male,After_16:00,0.87120485,0.8824131159999999,0.362882789,1.544425057,9.488382051,9.684632492999999,7638.0,47.030326,448.12839,5046.0727990000005,,No,172209.7299,21.1690432,100.123566,33.76989434,96517.70446000001,60.0,30-45,1.0,689.6674377999999,9.0,Foot_or_bicycle,Services_or_Retail,489.70745310000007,1.0,No
4522,3.0,159.5461426,25296.767190000002,Other,53.18204752,No,475.6636566000001,Yes,Female,After_16:00,0.439989556,0.388531071,1.5775252480000002,8.411167159,4.329090544,0.115546458,7858.0,87.5834814,428.9382653,5614.513097,54393.22719,Maybe,226255.9142,20.71082483,78.09865251,98.33355423,2891.5122260000003,50.0,45_and_up,1.0,694.3039305,10.0,Public_or_other,Public_Sector,521.3862521000001,0.0,No
3136,2.0,775.0278944,111142.3422,Healthcare,,No,430.21293679999997,Yes,Female,By_16:00,0.699580567,0.215350254,3.259531071,7.19959137,5.8031277029999995,3.355640268,5249.0,39.17877772,410.7017611,5123.5328899999995,51075.08814,No,185083.171,20.26577808,116.2450341,3.531070007,,80.0,Below_30,2.0,649.7252118,10.0,Public_or_other,Public_Sector,474.1446663,0.0,No
8040,10.0,994.103058,156003.4995,Healthcare,331.367686,No,470.7867004,Yes,Female,By_16:00,0.312842522,0.22536113300000002,5.831215938,7.095197297,8.367642652999999,8.733897745,8545.0,,403.3178365,5514.502677,51121.01867,No,221640.1173,20.08277462,104.8527223,66.33380554,110145.911,80.0,45_and_up,2.0,645.9825021,10.0,Public_or_other,Student_or_Unemployed,471.83555839999997,0.0,No
8541,2.0,374.8662843,37297.719489999996,Environment,124.95542809999999,No,298.4881894,Yes,Male,After_16:00,0.254969076,0.450274567,,6.32410608,6.933436288999999,2.710220753,9482.0,41.60406266,380.4223061,3745.7265060000004,44748.4069,No,89095.19922000001,19.50441761,254.0831988,60.08905361,15748.81444,90.0,45_and_up,0.0,573.1054855000001,9.0,Motorcycle_or_truck,Industry_or_other,401.753182,1.0,Yes
6682,3.0,1532.856459,235721.7517,Healthcare,510.9521529,Yes,461.3382102,Yes,Male,After_16:00,0.123373858,0.551574978,3.018985982,2.190765243,0.638204906,6.699240317,6543.0,31.85814572,496.1963467,5605.774795,57473.0608,Yes,212832.9441,22.27546513,78.36748736,76.37957829999999,261593.0547,,Below_30,2.0,708.6801742,14.0,Foot_or_bicycle,Industry_or_other,431.9392822,3.0,No
630,4.0,245.41440740000002,30399.68125,Healthcare,81.80480248,No,371.61242769999996,Yes,Female,After_16:00,0.689967545,0.9771570409999999,6.6013307679999995,0.474356778,9.044534541,0.17629861600000002,9732.0,46.22713893,428.8112065,4573.74669,51675.62775,No,138095.7965,20.70775716,148.082353,27.82560743,6783.83051,80.0,30-45,3.0,663.3808928999999,14.0,Car,Services_or_Retail,480.57912860000005,0.0,No
5027,1.0,704.9349697,81340.61059,Financial,,No,346.16218839999993,Yes,Male,By_16:00,0.298270669,0.689333619,6.324357665,7.686005021000001,4.940142117,9.887917524,7967.0,13.33857938,363.0594075,4187.740699,47604.77745,No,119828.2607,19.05411786,212.20241380000002,80.65884458,55459.79071,60.0,45_and_up,0.0,636.9189823,5.0,Public_or_other,Public_Sector,551.0985933999999,0.0,No
1412,7.0,394.86292149999997,36167.29758,Healthcare,131.6209738,No,274.78369530000003,Yes,Female,By_16:00,0.87393964,0.922353332,4.869452964,5.906846439,9.834551487999999,6.483558989,5233.0,80.44542761,538.1253392000001,3824.087632,62510.12492,No,75506.07922,23.19752873,269.4849296,5.398563831000001,17465.70173,80.0,30-45,2.0,833.2862828,12.0,Car,Student_or_Unemployed,642.990216,0.0,No
9269,9.0,,40223.82047,Financial,139.9661032,No,287.3825844,Yes,Female,By_16:00,0.6498909,0.950278175,0.21515323100000003,7.1422402720000004,4.930827058999999,2.883739201,6173.0,71.9333529,550.1059448,3974.0377340000005,63572.298729999995,No,82588.74981000001,23.45433744,258.4814054,59.14505064,19740.47616,60.0,Below_30,3.0,842.9275047,12.0,Foot_or_bicycle,Industry_or_other,638.1877919,0.0,Yes
7895,2.0,100.1071974,10532.58763,Education,33.36906581,No,315.6392717,Yes,Male,After_16:00,0.42626554200000005,0.317492042,,9.527542305,6.179965995,1.3829577180000001,4657.0,6.747976691,404.4422773,3965.277272,46541.02504,No,99628.14983,20.11075029,238.11709240000002,30.01809984,1156.863619,100.0,45_and_up,2.0,587.296221,10.0,Public_or_other,Industry_or_other,383.4684885,1.0,Yes
1553,8.0,390.0967356,35852.138,Healthcare,130.0322452,No,275.717288,Yes,Female,After_16:00,0.770470194,0.880362422,9.043144041,7.02849562,9.097101248,9.564244545,6571.0,66.38694294,504.06679620000006,3765.3064729999996,59690.386139999995,No,76020.02292,22.45143194,263.4567977,6.721362517999999,17048.41704,80.0,30-45,0.0,800.3155094,11.0,Motorcycle_or_truck,Student_or_Unemployed,638.167328,0.0,Yes
7482,1.0,-158.8612454,-7679.893342,Financial,-52.95374847,Yes,145.0302115,Yes,Female,By_16:00,0.849881323,0.855072088,3.543700266,5.380665467,3.011584801,2.709279463,5436.0,53.00091133,574.6758517999999,2599.653819,56796.87431,Yes,21033.76226,23.97239771,387.6214311,15.05712154,2761.145728,60.0,Below_30,2.0,713.391561,12.0,Foot_or_bicycle,Student_or_Unemployed,363.3605463,0.0,Yes
1437,8.0,178.8834716,26408.514769999998,Environment,59.62782387,No,442.8891255,Yes,Male,After_16:00,0.506996774,0.321477425,9.632121201,6.668439459,8.869773026,5.19717718,6525.0,95.2190564,411.2012776,5251.29381,52791.96647,No,196150.7775,20.27809847,112.1026541,74.35029021,3625.105203,90.0,Below_30,2.0,683.2124347,13.0,Public_or_other,Industry_or_other,537.6847446,0.0,Yes
1343,1.0,115.7123568,15815.064719999998,Military,38.57078559,No,410.0270316,Yes,Female,After_16:00,0.616765796,0.898726013,1.7034688080000002,9.718599333,7.917835247,5.006505633,7239.0,12.72986101,411.8075108,4923.885337,47980.605,Maybe,168122.1666,20.29304094,195.37336399999998,3.9710940789999998,1536.276287,30.0,30-45,0.0,586.9673889,8.0,Motorcycle_or_truck,Industry_or_other,350.675852,1.0,No
8876,7.0,629.6007228999999,151063.1702,Financial,209.8669076,No,719.8046224,No,Female,After_16:00,0.695093374,0.262405041,5.771765918,3.328907927,7.623844179,1.198534849,4399.0,28.16328418,666.9063607999999,8531.858945999998,76942.41408,No,518118.6944,25.82453021,276.0661663,76.47192026,44263.98583,60.0,Below_30,1.0,919.0054617000001,5.0,Public_or_other,Hightech,493.61854960000005,2.0,No
5693,3.0,702.837235,160597.7392,Healthcare,234.27907830000004,No,685.4975712,No,Male,By_16:00,0.019920304,0.7799942809999999,6.792220329,7.61330744,6.871440548,9.602548394,6514.0,84.38755348,649.7821518999999,8154.540016,75176.42891,No,469906.9201,25.49082486,238.42635550000003,70.32592769,55130.96563,80.0,,2.0,904.2319123,9.0,Motorcycle_or_truck,Industry_or_other,501.756437,2.0,Yes
8953,2.0,276.8478935,28907.95224,,92.28263117,No,313.25452989999997,Yes,Female,After_16:00,0.577434204,0.28567970800000003,7.929402443,6.494294431,1.36628594,2.1527787369999998,7892.0,34.21050084,544.2014115000001,4220.948122,64292.72245,No,98128.40049,23.3281249,256.9885268,53.64541567,8618.366647,80.0,Below_30,1.0,856.5693869999999,11.0,Motorcycle_or_truck,Industry_or_other,670.9253272999999,0.0,No
7606,1.0,,34657.32934,Foreign_Affairs,86.55672106,No,400.40021060000004,Yes,Female,By_16:00,0.28779024,0.697574389,0.182389857,1.823110583,4.8562670830000005,8.788011086000001,9071.0,77.93542386,415.0817757,4834.1656570000005,49392.691269999996,Maybe,160320.3286,20.373555800000002,160.10152630000002,50.28219363,7588.622681999999,40.0,Below_30,3.0,617.5124374,6.0,,Student_or_Unemployed,407.79763629999997,0.0,No
5108,8.0,287.3311927,48013.94182,Foreign_Affairs,95.77706422,No,501.3093919,No,Male,By_16:00,0.819623333,0.282686494,8.42796897,8.33044719,3.395138462,3.742351488,4094.0,23.3125062,403.2196518,5819.533222999999,52359.28195,Maybe,251311.1064,20.08032997,96.85082788,33.05660298,9279.023094,40.0,Below_30,0.0,664.7558029,7.0,Motorcycle_or_truck,Hightech,503.45435410000005,0.0,No
9897,4.0,889.1084548,123704.412,Social,296.3694849,No,417.3992881,Yes,Female,After_16:00,0.067652518,0.732175516,1.9034109590000001,3.623234127,,5.415120258,7193.0,53.03266582,386.1167454,4946.226372,50693.25945,No,174222.1657,19.64985357,150.17126519999997,41.60222413,88141.24107999999,70.0,Below_30,,665.5087371000001,13.0,Motorcycle_or_truck,Public_Sector,,0.0,Yes
2922,6.0,573.6644852000001,100588.1781,Environment,191.2214951,No,526.0296603,No,Female,By_16:00,0.16752678599999998,0.024463471,7.7737842520000004,4.23156752,3.04120112,6.6302049279999995,3265.0,27.36861862,400.2472547,6060.791113,51712.43203,No,276707.2035,20.00618041,108.12521650000001,23.13241905,36766.881669999995,90.0,45_and_up,2.0,646.5243524,10.0,Public_or_other,Industry_or_other,467.3977141,1.0,Yes
3246,10.0,229.1878459,19909.5928,Financial,76.39594864,No,260.61058419999995,Yes,Male,By_16:00,0.37760413299999995,0.319373338,3.215560708,8.543305672,5.66941042,5.808306122,6747.0,76.78029507,347.01514910000003,3300.13614,41592.4411,No,67917.87659,18.62834263,298.3980559,46.87249127,5922.736917,60.0,Below_30,0.0,542.7409803999999,7.0,Public_or_other,Services_or_Retail,408.7325755,2.0,No
6216,7.0,582.4135132,50733.66045,Healthcare,194.13783769999998,No,261.32803909999996,Yes,Male,After_16:00,0.079647059,0.627527794,6.976260272999999,6.6566015620000005,9.506925845,7.0615384489999995,5305.0,28.36437139,495.82333420000003,3604.9270590000006,59015.111339999996,No,68292.34401,22.26709083,280.9272115,16.31107896,37893.63788,80.0,Below_30,1.0,796.4318034,14.0,Foot_or_bicycle,Student_or_Unemployed,648.1159974,0.0,Yes
2108,2.0,1026.968601,144464.5719,Healthcare,342.322867,No,422.0126256,Yes,Male,After_16:00,0.6665832420000001,0.32057788,3.80658288,7.260582661,8.183111047999999,0.710074636,9384.0,62.91872149,441.8021323,5103.730521,54294.60685,No,178094.6562,21.01908971,98.04720157,,,80.0,45_and_up,2.0,695.8279997999999,10.0,Foot_or_bicycle,Hightech,512.0096363,0.0,Yes
8400,9.0,180.22676189999999,42420.33315,Social,60.0755873,No,706.1159958,No,Female,After_16:00,0.812553903,0.445720989,2.68349841,7.578295627999999,9.817129676,0.257231747,3759.0,85.88916379999999,672.2467846,8405.653527,77933.81268999999,No,498599.7995,25.92772232,270.0956795,27.90319996,3679.1517770000005,70.0,Below_30,0.0,939.7662707999999,8.0,Foot_or_bicycle,Student_or_Unemployed,528.2651301,2.0,Yes
9733,6.0,399.5457279,64250.372879999995,Healthcare,133.1819093,No,482.4256779,Yes,Female,By_16:00,0.199075472,0.53508867,5.955828768,2.23646377,1.4771845890000002,3.263848112,,64.2333515,445.8098228,5715.876424,54181.5526,No,232734.5347,21.11420903,76.79548592,0.0664155,17880.602880000002,80.0,Below_30,3.0,673.7220658,8.0,Motorcycle_or_truck,Hightech,448.50131500000003,0.0,Yes
928,,627.2448609,54924.00332999999,Social,209.08162030000003,No,262.69168590000004,Yes,Female,After_16:00,0.80514707,0.735658102,7.546716428,8.462710974,0.043498992,3.5572176939999998,8119.0,74.76219703,515.8793065,3658.675472,60616.435670000006,No,69006.92185,22.71297661,279.5851509,41.3139655,43934.20557,70.0,30-45,1.0,814.0460333999999,10.0,Car,Student_or_Unemployed,646.9709778,0.0,No
4925,8.0,93.75263661,13985.49789,Healthcare,31.25087887,No,447.5233465,Yes,Male,By_16:00,0.891166163,0.05690819,4.927276153999999,9.150196668,,8.728668024,8977.0,,405.5567342,5286.346934,52800.75685,No,200277.1457,20.13843922,120.9094182,7.199773635,1017.868309,80.0,Below_30,3.0,686.8908133,13.0,Motorcycle_or_truck,Public_Sector,554.2748357999999,0.0,No
7682,5.0,81.58043011,8894.102309,Environment,27.193476699999998,No,327.06749510000003,Yes,Male,By_16:00,0.39729541399999996,0.9024437759999999,0.18096035800000002,4.616492302,2.391830476,6.194814285,6445.0,97.10358668,412.26136349999996,4095.197678,52233.96477,No,106973.1464,20.30422034,216.08833149999998,74.98453213,776.6786519,90.0,45_and_up,0.0,701.4138957,10.0,Foot_or_bicycle,Industry_or_other,595.343838,2.0,No
4352,2.0,715.9550785,91388.2119,Other,238.65169280000003,No,,Yes,Male,By_16:00,0.9806923879999999,0.191924263,8.509174637000001,3.811788922,9.651953715,2.520532783,8780.0,49.66769779999999,430.6535194,4690.662314,52282.78767,Maybe,146639.6183,20.75219312,136.2859627,61.26907445,57203.28219,50.0,30-45,2.0,671.9817669,10.0,Motorcycle_or_truck,Student_or_Unemployed,492.2000933,1.0,Yes
1146,7.0,-177.76508869999998,-35021.67338,Social,-59.25502958,Yes,591.0329237999999,No,Male,After_16:00,0.7034865779999999,0.054773065,0.481102939,9.131550302,6.387609362,4.621634176000001,3453.0,58.229232700000004,527.8098646999999,6965.948967,67220.17073,Yes,349319.917,22.97411293,177.5724645,95.36141986,3461.903501,70.0,Below_30,2.0,859.0848196000001,11.0,Motorcycle_or_truck,Industry_or_other,649.9052978999999,0.0,No
9952,1.0,325.25368019999996,43448.34349,Education,108.41789340000001,No,400.7488259,Yes,Male,After_16:00,0.45330433600000003,0.93287429,7.031952296,8.068841302000001,6.9465903010000005,3.008856471,5035.0,17.74216702,312.3144852,4632.11723,42060.447,No,160599.6215,17.6724216,219.0234778,20.32037154,11872.8575,100.0,Below_30,3.0,544.2570092999999,13.0,Motorcycle_or_truck,Industry_or_other,446.19818,2.0,Yes
